PO_NUMBER,PaymentNO,DATE,PARTOL_TYPE,O'ty,AMOUNT,Price/Liter,shipping Address,CompanyID,Companyname,TaxNumber,InvoiceNumber,Filling Time,Vat 7% (inclusive),Grand Total,Company Name ,Address 
2203011768,20097702,2018-03-01,GASOHOL95,9851.56,325002.9644,32.99,30038390,900756015,Haji PCL.,100879994,300984544,49.2578,22750.20751,347753.1719,Group1 ,"126 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011770,20046128,2018-03-01,DIESEL,5658.94,158110.7836,27.94,30038348,900698255,Umar Ltd.,100561267,300766378,28.2947,11067.75485,169178.5385,Group1 ,"127 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011771,20091862,2018-03-01,DIESEL,8905.88,248830.2872,27.94,30020880,900162801,Osorio co.,100635129,300476975,44.5294,17418.1201,266248.4073,Group1 ,"128 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011772,20044648,2018-03-01,DIESEL,9571.32,267422.6808,27.94,30038390,900756015,Haji PCL.,100472105,300401040,47.8566,18719.58766,286142.2685,Group1 ,"129 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011773,20087603,2018-03-01,DIESEL,9916.76,277074.2744,27.94,30038348,900698255,Umar Ltd.,100771693,300524011,49.5838,19395.19921,296469.4736,Group1 ,"130 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011774,20074387,2018-03-01,GASOHOL95,9806.06,323501.9194,32.99,30038348,900698255,Umar Ltd.,100303250,300574722,49.0303,22645.13436,346147.0538,Group1 ,"131 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011853,20087348,2018-03-01,GASOHOL95,9967.24,328819.2476,32.99,30038390,900756015,Haji PCL.,100456832,300666181,49.8362,23017.34733,351836.5949,Group1 ,"132 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011875,20088815,2018-03-01,GASOHOL95,9608.4,316981.116,32.99,30038390,900756015,Haji PCL.,100131341,300616381,48.042,22188.67812,339169.7941,Group1 ,"133 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011895,20034703,2018-03-01,DIESEL,9992.74,279197.1556,27.94,30038348,900698255,Umar Ltd.,100537987,300651778,49.9637,19543.80089,298740.9565,Group1 ,"134 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
2203011914,20013856,2018-03-01,DIESEL,9986.9,279033.986,27.94,30038348,900698255,Umar Ltd.,100761088,300148024,49.9345,19532.37902,298566.365,Group1 ,"135 Pracha Uthit Rd, Khwaeng Bang Mot, Khet Thung Khru, Krung Thep Maha Nakhon 10140"
