PO_NUMBER,PaymentNO,DATE,PARTOL_TYPE,O'ty,AMOUNT,Price/Liter,shipping Address,CompanyID,Companyname,TaxNumber,,,
2203011768,20097702,2018/03/01,GASOHOL95,9851.56,325002.9644,32.99,30038390,900756015,Haji PCL.,100879994,,,
2203011770,20046128,2018/03/01,DIESEL,5658.94,158110.7836,27.94,30038348,900698255,Umar Ltd.,100561267,,,
2203011771,20091862,2018/03/01,DIESEL,8905.88,248830.2872,27.94,30020880,900162801,Osorio co.,100635129,,,
2203011772,20044648,2018/03/01,DIESEL,9571.32,267422.6808,27.94,30038390,900756015,Haji PCL.,100472105,,,
2203011773,20087603,2018/03/01,DIESEL,9916.76,277074.2744,27.94,30038348,900698255,Umar Ltd.,100771693,,,
2203011774,20074387,2018/03/01,GASOHOL95,9806.06,323501.9194,32.99,30038348,900698255,Umar Ltd.,100303250,,,
2203011853,20087348,2018/03/01,GASOHOL95,9967.24,328819.2476,32.99,30038390,900756015,Haji PCL.,100456832,,,
2203011875,20088815,2018/03/01,GASOHOL95,9608.4,316981.116,32.99,30038390,900756015,Haji PCL.,100131341,,,
2203011895,20034703,2018/03/01,DIESEL,9992.74,279197.1556,27.94,30038348,900698255,Umar Ltd.,100537987,,,
2203011914,20013856,2018/03/01,DIESEL,9986.9,279033.986,27.94,30038348,900698255,Umar Ltd.,100761088,,,
2203011916,20061670,2018/03/01,DIESEL,9376.8,261987.792,27.94,30026514,900893009,Judith co.,100926706,,,
2203011917,20064056,2018/03/01,DIESEL,6507.82,181828.4908,27.94,30011473,900146418,Richard Ltd.,100935911,,,
2203011942,20073328,2018/03/01,DIESEL,9186.86,256680.8684,27.94,30038348,900698255,Umar Ltd.,100865415,,,
2203011955,20026412,2018/03/01,DIESEL,9973.6,278662.384,27.94,30038348,900698255,Umar Ltd.,100601765,,,
2203011960,20030342,2018/03/01,DIESEL,9735.94,272022.1636,27.94,30038348,900698255,Umar Ltd.,100241677,,,
2203011973,20027052,2018/03/01,GASOHOL95,9983.08,329341.8092,32.99,30038348,900698255,Umar Ltd.,100369179,,,
2203011994,20065964,2018/03/01,DIESEL,9591.86,267996.5684,27.94,30038390,900756015,Haji PCL.,100831152,,,
2203011997,20018198,2018/03/01,DIESEL,9997.42,279327.9148,27.94,10007463,900197604,Xiong co.,100421583,,,
2203011998,20054995,2018/03/01,DIESEL,9973.64,278663.5016,27.94,30038347,900964090,António co.,100115212,,,
2203011999,20082776,2018/03/01,DIESEL,9741.18,272168.5692,27.94,30021096,900425246,Öztürk co.,100332231,,,
2203012000,20018779,2018/03/01,DIESEL,8295.06,231763.9764,27.94,30038348,900698255,Umar Ltd.,100859241,,,
2203012008,20065937,2018/03/01,DIESEL,8476.06,236821.1164,27.94,30001090,900464445,Adamu co.,100557273,,,
2203012021,20047178,2018/03/01,DIESEL,8616.24,240737.7456,27.94,30021092,900432589,Tong PCL.,100937016,,,
2203012028,20056146,2018/03/01,DIESEL,9564.2,267223.748,27.94,30018141,900527094,Machado PCL.,100924967,,,
2203012095,20055614,2018/03/01,DIESEL,7498.2,209499.708,27.94,30013992,900930667,Suarez Thailand,100891475,,,
2203012100,20070292,2018/03/01,DIESEL,9273.52,259102.1488,27.94,30045421,900696244,Ahmad Thailand,100776661,,,
2203012107,20049429,2018/03/01,DIESEL,9652.46,269689.7324,27.94,30043944,900866808,Victoria PCL.,100139654,,,
2203012147,20058360,2018/03/01,DIESEL,9702.78,271095.6732,27.94,30019257,900173447,Maria co.,100856515,,,
2203012151,20020925,2018/03/01,DIESEL,7612.38,212689.8972,27.94,30042727,900321356,Samuel PCL.,100174037,,,
2203012158,20046826,2018/03/01,DIESEL,9267.58,258936.1852,27.94,30038362,900525719,Musa Thailand,100756142,,,
2203012180,20046845,2018/03/01,DIESEL,8572.44,239513.9736,27.94,10006801,900631366,Sun Thailand,100206332,,,
2203012194,20069249,2018/03/01,DIESEL,9896.44,276506.5336,27.94,30038137,900619163,Molina Thailand,100425464,,,
2203012198,20050331,2018/03/01,DIESEL,8123.74,226977.2956,27.94,30000449,900100592,Manjhi PCL.,100880562,,,
2203012231,20058619,2018/03/01,GASOHOL95,7441.64,245499.7036,32.99,30038362,900525719,Musa Thailand,100328372,,,
2203012247,20029611,2018/03/01,DIESEL,9139.38,255354.2772,27.94,10012334,900544783,Bux Ltd.,100293317,,,
2203012266,20051092,2018/03/01,DIESEL,8634.3,241242.342,27.94,30026514,900893009,Judith co.,100969061,,,
2203012271,20073161,2018/03/01,DIESEL,9914.28,277004.9832,27.94,30023005,900301370,Siddique co.,100176684,,,
2203012275,20051234,2018/03/01,DIESEL,8957.24,250265.2856,27.94,30027174,900501135,Wen co.,100798713,,,
2203012284,20064240,2018/03/01,DIESEL,9982.46,278909.9324,27.94,30002244,900627148,Giri co.,100162160,,,
2203012289,20062279,2018/03/01,DIESEL,9998.4,279355.296,27.94,30028481,900903642,Kone PCL.,100393944,,,
2203012305,20082825,2018/03/01,DIESEL,9956.64,278188.5216,27.94,30038390,900756015,Haji PCL.,100477819,,,
2203012322,20074064,2018/03/01,GASOHOL95,7592.68,250482.5132,32.99,10008295,900643425,Lal PCL.,100628856,,,
2203012330,20029640,2018/03/01,DIESEL,8920.44,249237.0936,27.94,10011002,900628124,Truong co.,100849075,,,
2203012354,20079853,2018/03/01,DIESEL,8828.76,246675.5544,27.94,30030400,900568300,Romero Thailand,100771059,,,
2203012379,20010605,2018/03/01,GASOHOL95,9938.92,327884.9708,32.99,30025508,900694980,Traore PCL.,100190957,,,
2203012452,20098162,2018/03/01,DIESEL,9473.48,264689.0312,27.94,30038362,900525719,Musa Thailand,100831125,,,
2203012478,20095090,2018/03/01,DIESEL,7511.94,209883.6036,27.94,10008836,900655094,Wei co.,100942057,,,
2203012580,20043715,2018/03/01,DIESEL,9984.74,278973.6356,27.94,10002812,900769545,Afzal Ltd.,100576078,,,
2203012588,20044722,2018/03/01,DIESEL,9018.52,251977.4488,27.94,30029534,900918894,Carl Thailand,100301867,,,
2203012690,20080300,2018/03/01,DIESEL,9715.78,271458.8932,27.94,10002256,900592522,Reddy Thailand,100776634,,,
2203012694,20037039,2018/03/01,DIESEL,9943.4,277818.596,27.94,30029534,900918894,Carl Thailand,100667151,,,
2203012699,20028877,2018/03/01,DIESEL,9043.32,252670.3608,27.94,30029534,900918894,Carl Thailand,100508783,,,
