DATE,PO_NUMBER,PAYMENT_NUMBER,INVOICE_NUMBER,SHIPMENT_NUMBER,TRUCK_NUMBER,PARTOL_TYPE,O'ty (Liter),AMOUNT,AGENT
1/3/2018,2203011768,20097702,300984544,2203011768,สค.70-6119,GASOHOL95,9851.56,325002.9644,GROUP1
1/3/2018,2203011770,20046128,300766378,2203011770,ชม.70-5299,DIESEL,5658.94,158110.7836,GROUP1
1/3/2018,2203011771,20091862,300574722,2203011771,ชม.70-6507,DIESEL,8905.88,248830.2872,GROUP1
1/3/2018,2203011772,20044648,300476975,2203011772,ฉช.81-4230,DIESEL,9571.32,267422.6808,GROUP1
1/3/2018,2203011773,20087603,300524011,2203011773,ชม.70-5301,DIESEL,9916.76,277074.2744,GROUP1
1/3/2018,2203011774,20074387,300401040,2203011774,สค.70-4386,GASOHOL95,9806.06,323501.9194,GROUP1
1/3/2018,2203011853,20087348,300666181,2203011853,สค.70-3937,GASOHOL95,9967.24,328819.2476,GROUP1
1/3/2018,2203011875,20088815,300616381,2203011875,สค.70-6124,GASOHOL95,9608.4,316981.116,GROUP1
1/3/2018,2203011895,20034703,300651778,2203011895,ลพ.70-1223,DIESEL,9992.74,279197.1556,GROUP1
1/3/2018,2203011914,20013856,300966904,2203011914,ฉช.82-8528,DIESEL,9986.9,279033.986,GROUP1
1/3/2018,2203011916,20061670,300337946,2203011916,ฉช.82-3201,DIESEL,9376.8,261987.792,GROUP1
1/3/2018,2203011917,20064056,300148024,2203011917,ชม.70-5300,DIESEL,6507.82,181828.4908,GROUP1
1/3/2018,2203011942,20073328,300175039,2203011942,ชม.70-5302,DIESEL,9186.86,256680.8684,GROUP1
1/3/2018,2203011955,20026412,300945089,2203011955,ชม.70-5261,DIESEL,9973.6,278662.384,GROUP1
1/3/2018,2203011960,20030342,300783761,2203011960,ชม.70-5193,DIESEL,9735.94,272022.1636,GROUP1
1/3/2018,2203011973,20027052,300919932,2203011973,สค.70-4335,GASOHOL95,9983.08,329341.8092,GROUP1
1/3/2018,2203011994,20065964,300733432,2203011994,ฉช.82-7170,DIESEL,9591.86,267996.5684,GROUP1
1/3/2018,2203011997,20018198,300639348,2203011997,ชม.70-6510,DIESEL,9997.42,279327.9148,GROUP1
1/3/2018,2203011998,20054995,300678747,2203011998,กท.79-1830,DIESEL,9973.64,278663.5016,GROUP1
1/3/2018,2203011999,20082776,300968765,2203011999,ลพ.70-0785,DIESEL,9741.18,272168.5692,GROUP1
1/3/2018,2203012000,20018779,300311417,2203012000,กท.79-8993,DIESEL,8295.06,231763.9764,GROUP1
1/3/2018,2203012008,20065937,300738505,2203012008,กท.79-5584,DIESEL,8476.06,236821.1164,GROUP1
1/3/2018,2203012021,20047178,300717466,2203012021,กท.78-6739,DIESEL,8616.24,240737.7456,GROUP1
1/3/2018,2203012028,20056146,300503658,2203012028,กท.79-0644,DIESEL,9564.2,267223.748,GROUP1
1/3/2018,2203012095,20055614,300716165,2203012095,กท.78-6742,DIESEL,7498.2,209499.708,GROUP1
1/3/2018,2203012100,20070292,300311480,2203012100,กท.78-1149,DIESEL,9273.52,259102.1488,GROUP1
1/3/2018,2203012107,20049429,300954343,2203012107,กท.79-5843,DIESEL,9652.46,269689.7324,GROUP1
1/3/2018,2203012147,20058360,300722322,2203012147,กท.79-0643,DIESEL,9702.78,271095.6732,GROUP1
1/3/2018,2203012151,20020925,300993462,2203012151,กท.61-8383,DIESEL,7612.38,212689.8972,GROUP1
1/3/2018,2203012158,20046826,300246999,2203012158,กท.74-9067,DIESEL,9267.58,258936.1852,GROUP1
1/3/2018,2203012180,20046845,300537449,2203012180,กท.78-7993,DIESEL,8572.44,239513.9736,GROUP1
1/3/2018,2203012194,20069249,300894355,2203012194,กท.79-5578,DIESEL,9896.44,276506.5336,GROUP1
1/3/2018,2203012198,20050331,300515742,2203012198,กท.77-8133,DIESEL,8123.74,226977.2956,GROUP1
1/3/2018,2203012231,20058619,300114388,2203012231,กท.61-7782,GASOHOL95,7441.64,245499.7036,GROUP1
1/3/2018,2203012247,20029611,300737835,2203012247,กท.77-9738,DIESEL,9139.38,255354.2772,GROUP1
1/3/2018,2203012266,20051092,300281934,2203012266,กท.79-0642,DIESEL,8634.3,241242.342,GROUP1
1/3/2018,2203012271,20073161,300246745,2203012271,กท.79-0841,DIESEL,9914.28,277004.9832,GROUP1
1/3/2018,2203012275,20051234,300352752,2203012275,กท.77-8134,DIESEL,8957.24,250265.2856,GROUP1
1/3/2018,2203012284,20064240,300467807,2203012284,กท.79-2716,DIESEL,9982.46,278909.9324,GROUP1
1/3/2018,2203012289,20062279,300825626,2203012289,กท.79-0641,DIESEL,9998.4,279355.296,GROUP1
1/3/2018,2203012305,20082825,300895939,2203012305,กท.79-5579,DIESEL,9956.64,278188.5216,GROUP1
1/3/2018,2203012322,20074064,300799759,2203012322,สค.70-3935,GASOHOL95,7592.68,250482.5132,GROUP1
1/3/2018,2203012330,20029640,300632880,2203012330,กท.79-1961,DIESEL,8920.44,249237.0936,GROUP1
1/3/2018,2203012354,20079853,300356493,2203012354,ฉช.82-7443,DIESEL,8828.76,246675.5544,GROUP1
1/3/2018,2203012379,20010605,300628732,2203012379,กท.79-8107,GASOHOL95,9938.92,327884.9708,GROUP1
1/3/2018,2203012452,20098162,300979329,2203012452,กท.78-6744,DIESEL,9473.48,264689.0312,GROUP1
1/3/2018,2203012478,20095090,300523348,2203012478,กท.79-2717,DIESEL,7511.94,209883.6036,GROUP1
1/3/2018,2203012580,20043715,300428807,2203012580,กท.79-3258,DIESEL,9984.74,278973.6356,GROUP1
1/3/2018,2203012588,20044722,300771084,2203012588,ฉช.81-3257,DIESEL,9018.52,251977.4488,GROUP1
1/3/2018,2203012690,20080300,300780477,2203012690,กท.79-5840,DIESEL,9715.78,271458.8932,GROUP1
1/3/2018,2203012694,20037039,300758872,2203012694,กท.79-0144,DIESEL,9943.4,277818.596,GROUP1
1/3/2018,2203012699,20028877,300363753,2203012699,กท.79-5841,DIESEL,9043.32,252670.3608,GROUP1
1/3/2018,2203012807,20044541,300744215,2203012807,กท.79-3259,DIESEL,9987.84,279060.2496,GROUP1
1/3/2018,2203012917,20039106,300501330,2203012917,ชบ.84-7156,DIESEL,8986.66,251087.2804,GROUP1
1/3/2018,2203012924,20053415,300221520,2203012924,ฉช.82-4812,DIESEL,9950.76,278024.2344,GROUP1
1/3/2018,2203012929,20050258,300798858,2203012929,กท.79-3156,GASOHOL95,9812.5,323714.375,GROUP1
1/3/2018,2203012968,20037135,300722513,2203012968,นม.70-6730,DIESEL,9795.14,273676.2116,GROUP1
1/3/2018,2203013009,20019842,300474085,2203013009,กท.75-9797,DIESEL,9951.9,278056.086,GROUP1
1/3/2018,2203013020,20017074,300463226,2203013020,กท.60-4208,GASOHOL95,8199.22,270492.2678,GROUP1
1/3/2018,2203013100,20071396,300332731,2203013100,กท.61-7783,GASOHOL95,9950.66,328272.2734,GROUP1
1/3/2018,2203013124,20057260,300504674,2203013124,กท.79-0841,DIESEL,9510.3,265717.782,GROUP1
1/3/2018,2203013141,20035498,300546113,2203013141,ชม.70-5420,DIESEL,9205.08,257189.9352,GROUP1
1/3/2018,2203013187,20069789,300409586,2203013187,กท.61-4383,DIESEL,9611.58,268547.5452,GROUP1
1/3/2018,2203013210,20026356,300147732,2203013210,ฉช.82-7170,DIESEL,8562.14,239226.1916,GROUP1
1/3/2018,2203013243,20034071,300873200,2203013243,ชบ.82-4190,DIESEL,9977.2,278762.968,GROUP1
1/3/2018,2203013282,20094367,300594674,2203013282,กท.79-5843,DIESEL,9108.4,254488.696,GROUP1
1/3/2018,2203013370,20028114,300297560,2203013370,กท.77-8134,DIESEL,8387.06,234334.4564,GROUP1
1/3/2018,2203013377,20031912,300261739,2203013377,นม.70-7501,GASOHOL95,8762.38,289070.9162,GROUP1
1/3/2018,2203013386,20029702,300469562,2203013386,กท.61-6471,GASOHOL95,9675.9,319207.941,GROUP1
1/3/2018,2203013394,20031166,300129284,2203013394,กท.79-3257,DIESEL,9857.74,275425.2556,GROUP1
1/3/2018,2203013411,20011221,300268280,2203013411,กท.79-0643,DIESEL,9926.48,277345.8512,GROUP1
1/3/2018,2203013418,20092998,300117947,2203013418,กท.60-4205,GASOHOL95,9586.5,316258.635,GROUP1
1/3/2018,2203013421,20010908,300889128,2203013421,กท.78-1149,DIESEL,7564.38,211348.7772,GROUP1
1/3/2018,2203013424,20094009,300587954,2203013424,กท.79-5579,DIESEL,9316.12,260292.3928,GROUP1
1/3/2018,2203013525,20037413,300760541,2203013525,จบ.80-8222,DIESEL,9782.3,273317.462,GROUP1
1/3/2018,2203013565,20015274,300908746,2203013565,กท.78-6742,DIESEL,9669.64,270169.7416,GROUP1
1/3/2018,2203013572,20086310,300253644,2203013572,กท.79-5578,DIESEL,9352.02,261295.4388,GROUP1
1/3/2018,2203013575,20095554,300864334,2203013575,กท.79-0641,DIESEL,9853.1,275295.614,GROUP1
1/3/2018,2203013609,20071616,300305337,2203013609,จบ.80-3645,DIESEL,9915.24,277031.8056,GROUP1
1/3/2018,2203013617,20052933,300158747,2203013617,กท.75-6899,DIESEL,5859.52,163714.9888,GROUP1
1/3/2018,2203013715,20082552,300931352,2203013715,กท.78-7993,DIESEL,9409.94,262913.7236,GROUP1
1/3/2018,2203013719,20094201,300337013,2203013719,กท.74-9067,DIESEL,9163.12,256017.5728,GROUP1
1/3/2018,2203013726,20017865,300562462,2203013726,กท.79-8105,GASOHOL95,9991.58,329622.2242,GROUP1
1/3/2018,2203013742,20043470,300917583,2203013742,กท.61-4782,DIESEL,8986.1,251071.634,GROUP1
1/3/2018,2203013768,20081397,300105447,2203013768,ชม.70-4355,DIESEL,9867.14,275687.8916,GROUP1
1/3/2018,2203013769,20074333,300906044,2203013769,ลพ.70-0785,DIESEL,9998.98,279371.5012,GROUP1
1/3/2018,2203013779,20014535,300839691,2203013779,กท.61-8383,DIESEL,8947.64,249997.0616,GROUP1
1/3/2018,2203013783,20046628,300145209,2203013783,กท.77-9738,DIESEL,8761.12,244785.6928,GROUP1
1/3/2018,2203013818,20033395,300793757,2203013818,กท.79-2717,DIESEL,9749.28,272394.8832,GROUP1
1/3/2018,2203013842,20020686,300627606,2203013842,กท.79-0642,DIESEL,6232.32,174131.0208,GROUP1
1/3/2018,2203013844,20053785,300854945,2203013844,กท.79-1961,DIESEL,8883.8,248213.372,GROUP1
1/3/2018,2203013855,20024562,300748196,2203013855,กท.79-1830,DIESEL,9897.12,276525.5328,GROUP1
1/3/2018,2203013859,20023673,300608248,2203013859,กท.78-6742,DIESEL,8990.96,251207.4224,GROUP1
1/3/2018,2203013881,20066077,300819426,2203013881,กท.78-6744,DIESEL,9985.56,278996.5464,GROUP1
1/3/2018,2203013896,20051883,300928725,2203013896,กท.78-6739,DIESEL,9016.4,251918.216,GROUP1
1/3/2018,2203013941,20082149,300344598,2203013941,กท.79-3258,DIESEL,9996.58,279304.4452,GROUP1
1/3/2018,2203014004,20059957,300642501,2203014004,กท.79-1819,DIESEL,9069.34,253397.3596,GROUP1
1/3/2018,2203014007,20030296,300137068,2203014007,กท.79-0644,DIESEL,8127.76,227089.6144,GROUP1
1/3/2018,2203014030,20091622,300111848,2203014030,กท.79-5584,DIESEL,9875.5,275921.47,GROUP1
1/3/2018,2203014034,20094880,300213100,2203014034,ฉช.82-7443,DIESEL,8168.8,228236.272,GROUP1
1/3/2018,2203014063,20084753,300552766,2203014063,กท.79-0643,DIESEL,9457.48,264241.9912,GROUP1
1/3/2018,2203014077,20012136,300126594,2203014077,กท.79-0641,DIESEL,9800.8,273834.352,GROUP1
1/3/2018,2203014087,20011468,300878898,2203014087,ชม.70-5421,DIESEL,8941.8,249833.892,GROUP1
1/3/2018,2203014100,20025453,300583643,2203014100,กท.78-1149,DIESEL,6725.44,187908.7936,GROUP1
1/3/2018,2203014104,20031148,300693627,2203014104,ชม.70-5123,DIESEL,8943.3,249875.802,GROUP1
1/3/2018,2203014120,20023970,300315087,2203014120,สค.70-6125,DIESEL,9951.86,278054.9684,GROUP1
1/3/2018,2203014160,20056205,300627474,2203014160,กท.79-0144,DIESEL,9301.38,259880.5572,GROUP1
1/3/2018,2203014161,20073294,300547186,2203014161,กท.77-8133,DIESEL,8832.12,246769.4328,GROUP1
1/3/2018,2203014162,20056518,300964237,2203014162,ชม.70-5125,DIESEL,9999.98,279399.4412,GROUP1
1/3/2018,2203014163,20061257,300536064,2203014163,ชม.70-5301,DIESEL,9999.36,279382.1184,GROUP1
